fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband,rucc_code,rural_binary,rural_label,hpsa_score,hpsa_designated,births_1st_trimester,births_2nd_trimester,births_3rd_trimester,births_no_prenatal,births_unknown,total_births,pct_1st_trimester,pct_3rd_trimester,pct_no_prenatal,births_late_no_prenatal,pct_late_no_prenatal,has_suppressed_data,obgyn_count,obgyn_subsp_count,total_providers,providers_per_10k,region,western_nc,helene_impacted
37083,Halifax,48219,31460,27.89,25.2,9.95,70.23,4,1,Rural/Non-metro,22.0,1,,,,,,,,,,,,,2.0,0.0,2.0,0.64,Piedmont/Coastal,0,0
37085,Harnett,136503,91673,34.88,14.5,3.84,83.5,4,1,Rural/Non-metro,21.0,1,11885.0,3099.0,859.0,751.0,291.0,16885.0,70.39,5.09,4.45,1610.0,9.54,0.0,6.0,0.0,6.0,0.65,Piedmont/Coastal,0,0
37087,Haywood,62432,39167,23.69,11.3,4.16,82.92,4,1,Rural/Non-metro,15.0,1,,,,,,,,,,,,,3.0,1.0,4.0,1.02,Western NC,1,1
37089,Henderson,117387,75055,25.05,11.7,3.81,88.0,2,0,Metro,17.0,1,7858.0,1009.0,210.0,124.0,96.0,9297.0,84.52,2.26,1.33,334.0,3.59,0.0,9.0,1.0,10.0,1.33,Western NC,1,1
37091,Hertford,20492,13372,28.84,21.4,8.07,79.52,8,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,3.0,0.0,3.0,2.24,Piedmont/Coastal,0,0
37093,Hoke,53102,35982,35.06,17.4,5.29,88.43,2,0,Metro,19.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.28,Piedmont/Coastal,0,0
37095,Hyde,4625,2517,20.38,22.4,8.65,68.89,9,1,Rural/Non-metro,16.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37097,Iredell,191800,125078,29.98,9.1,3.5,92.61,1,0,Metro,0.0,0,12905.0,3054.0,840.0,786.0,87.0,17672.0,73.03,4.75,4.45,1626.0,9.2,0.0,23.0,2.0,25.0,2.0,Piedmont/Coastal,0,0
37099,Jackson,43089,29455,35.24,19.3,4.09,76.49,7,1,Rural/Non-metro,18.0,1,,,,,,,,,,,,,4.0,0.0,4.0,1.36,Western NC,1,0
37101,Johnston,226623,151575,32.73,11.2,3.82,86.17,1,0,Metro,21.0,1,18175.0,3771.0,780.0,572.0,126.0,23424.0,77.59,3.33,2.44,1352.0,5.77,0.0,9.0,0.0,9.0,0.59,Piedmont/Coastal,0,0
