fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband
37137,Pamlico,12315,7082,19.53,12.4,3.92,85.29
37139,Pasquotank,40830,26973,30.43,10.0,6.6,89.91
37141,Pender,63475,40263,28.83,10.7,3.01,88.03
37143,Perquimans,13146,8412,24.35,11.4,5.95,84.12
37145,Person,39275,25965,28.16,18.4,4.6,87.52
37147,Pitt,172279,124964,38.47,19.4,8.7,87.06
37149,Polk,19689,12344,20.86,13.7,3.32,82.86
37151,Randolph,145322,94561,30.46,14.8,3.47,86.04
37153,Richmond,42818,28801,33.14,25.2,11.21,84.55
37155,Robeson,116858,81019,35.26,28.8,8.01,73.62
37157,Rockingham,91585,58952,27.23,16.8,6.5,81.99
37159,Rowan,148487,97077,30.99,15.8,5.97,88.72
37161,Rutherford,64850,41982,27.13,17.6,5.42,82.62
37163,Sampson,59245,39191,33.2,20.2,5.03,82.89
37165,Scotland,34353,21882,33.15,26.6,11.34,84.53
37167,Stanly,63557,40852,29.95,14.2,5.88,87.27
37169,Stokes,44889,28514,26.0,12.0,3.83,84.86
37171,Surry,71407,47043,29.48,16.7,4.82,83.35
37173,Swain,14065,9336,28.78,21.1,9.41,75.79
37175,Transylvania,33243,20766,21.94,14.2,4.35,86.18
37177,Tyrrell,3376,2019,24.86,20.8,7.92,74.47
37179,Union,244975,165380,34.85,7.7,2.35,93.39
37181,Vance,42361,29524,31.54,19.0,8.18,81.9
37183,Wake,1151009,769474,32.33,7.9,4.08,94.66
37185,Warren,18751,11834,25.13,22.2,8.34,76.49
37187,Washington,10905,6585,22.77,24.7,17.12,72.93
37189,Watauga,54607,39236,44.27,24.7,4.13,89.02
37191,Wayne,117606,77932,33.24,16.9,7.06,88.73
37193,Wilkes,65983,42123,27.45,16.4,5.9,86.37
37195,Wilson,78648,53226,30.67,21.0,8.58,81.73
37197,Yadkin,37419,23674,26.78,13.6,5.42,83.8
37199,Yancey,18676,11598,24.36,14.9,5.06,80.51
