fips,county_name,region,western_nc,helene_impacted,pct_uninsured_women,pct_poverty,providers_per_10k,pct_uninsured_women_norm,pct_poverty_norm,providers_per_10k_norm,burden_index,burden_tier
37097,Iredell,Piedmont/Coastal,0,0,29.98,9.1,2.0,0.434283452098179,0.1722689075630252,0.8142989786443825,0.4736,Low Burden
37119,Mecklenburg,Piedmont/Coastal,0,0,32.18,10.4,3.57,0.5213776722090261,0.22689075630252103,0.6685236768802229,0.4723,Low Burden
37043,Clay,Western NC,1,0,23.61,13.5,1.41,0.18210609659540766,0.35714285714285715,0.8690807799442897,0.4694,Low Burden
37183,Wake,Piedmont/Coastal,0,0,32.33,7.9,2.61,0.527315914489311,0.12184873949579833,0.7576601671309192,0.4689,Low Burden
37089,Henderson,Western NC,1,1,25.05,11.7,1.33,0.23911322248614408,0.28151260504201675,0.8765088207985143,0.4657,Low Burden
37129,New Hanover,Piedmont/Coastal,0,0,30.44,12.4,4.28,0.45249406175771967,0.3109243697478991,0.6025998142989786,0.4553,Low Burden
37087,Haywood,Western NC,1,1,23.69,11.3,1.02,0.18527315914489306,0.2647058823529412,0.9052924791086351,0.4518,Low Burden
37029,Camden,Piedmont/Coastal,0,0,30.79,5.0,1.42,0.46634996041171795,0.0,0.8681522748375116,0.4448,Low Burden
37137,Pamlico,Piedmont/Coastal,0,0,19.53,12.4,0.0,0.020585906571654822,0.3109243697478991,1.0,0.4438,Low Burden
37175,Transylvania,Western NC,1,1,21.94,14.2,1.93,0.11599366587490101,0.3865546218487394,0.8207985143918292,0.4411,Low Burden
37125,Moore,Piedmont/Coastal,0,0,27.47,10.0,3.93,0.3349168646080759,0.21008403361344535,0.6350974930362117,0.3934,Low Burden
37037,Chatham,Piedmont/Coastal,0,0,26.08,10.5,3.76,0.279889152810768,0.23109243697478993,0.6508820798514392,0.3873,Low Burden
37063,Durham,Piedmont/Coastal,0,0,30.96,12.0,6.72,0.4730799683293744,0.29411764705882354,0.37604456824512533,0.3811,Low Burden
37031,Carteret,Piedmont/Coastal,0,0,22.88,10.0,2.81,0.15320665083135387,0.21008403361344535,0.7390900649953575,0.3675,Low Burden
37055,Dare,Piedmont/Coastal,0,0,22.89,7.5,1.71,0.15360253365003962,0.1050420168067227,0.841225626740947,0.3666,Low Burden
37135,Orange,Piedmont/Coastal,0,0,38.24,12.4,10.77,0.7612826603325417,0.3109243697478991,0.0,0.3574,Low Burden
37019,Brunswick,Piedmont/Coastal,0,0,19.01,9.4,1.23,0.0,0.18487394957983194,0.8857938718662952,0.3569,Low Burden
37021,Buncombe,Western NC,1,1,26.04,11.8,5.38,0.2783056215360252,0.28571428571428575,0.500464252553389,0.3548,Low Burden
